ID,MEMBER,"TRANSACTION TYPE","WALLET TYPE",VALUE,DESCRIPTION,DATE
60,AmazingMum,EARNING,Cash,225,"Indirect Referral Bonus From Jaymamms","2024-10-25 10:10:59"
61,Sandiphina,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-25 10:10:59"
62,BCM1,EARNING,Cash,1000,"Team Bonus Earnings From Level 9 - AmazingMum","2024-10-25 09:35:52"
63,Ochewealth,EARNING,Cash,600,"Team Bonus Earnings From Level 3 - AmazingMum","2024-10-25 09:35:10"
64,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From AmazingMum","2024-10-25 09:34:03"
65,Sandiphina,EARNING,Cash,37.5,"Indirect Referral Bonus From AmazingMum","2024-10-25 09:34:03"
66,Ochewealth,EARNING,Cash,2625,"Direct Referral Bonus From AmazingMum","2024-10-25 09:34:03"
67,Sandiphina,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-25 09:34:03"
68,BCM5,EARNING,Cash,37.5,"Indirect Referral Bonus From AmazingMum","2024-10-25 09:34:03"
69,Ochewealth2,EARNING,Cash,225,"Indirect Referral Bonus From AmazingMum","2024-10-25 09:34:03"
70,BCM2,EARNING,Cash,37.5,"Indirect Referral Bonus From AmazingMum","2024-10-25 09:34:03"
71,Charitybest,EARNING,Cash,150,"Indirect Referral Bonus From AmazingMum","2024-10-25 09:34:03"
72,BCM1,EARNING,Cash,1000,"Team Bonus Earnings From Level 6 - sampleb","2024-10-25 05:15:35"
73,BCM5A,EARNING,Cash,500,"Team Bonus Earnings From Level 3 - sampleb","2024-10-25 05:15:08"
74,BCM1,EARNING,Cash,7.5,"Indirect Referral Bonus From sampleb","2024-10-25 05:11:02"
75,BCM5A1,EARNING,Cash,30,"Indirect Referral Bonus From sampleb","2024-10-25 05:11:02"
76,ESKORBA,EARNING,Cash,5000,"Stockist Registration Commission","2024-10-25 05:11:02"
77,BCM5,EARNING,Cash,15,"Indirect Referral Bonus From sampleb","2024-10-25 05:11:02"
78,BCM1,EARNING,Cash,525,"Direct Referral Bonus From sampleb","2024-10-25 05:11:02"
79,BCM2,EARNING,Cash,15,"Indirect Referral Bonus From sampleb","2024-10-25 05:11:02"
80,bcmtest,EARNING,Cash,45,"Indirect Referral Bonus From sampleb","2024-10-25 05:11:02"
81,Ola01,DEBIT,Cash,465,"Withdrawal Charges","2024-10-24 14:46:25"
82,Ola01,DEBIT,Cash,8835,"Withdrawal Request","2024-10-24 14:46:25"
83,Sandiphina,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-24 13:35:33"
84,suturaglobal,EARNING,Cash,4375,"Direct Referral Bonus From Ochewealth","2024-10-24 13:35:33"
85,Moses54,EARNING,Cash,150,"Indirect Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
86,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
87,TeamBCM,EARNING,Cash,37.5,"Indirect Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
88,AUSTINLAHOR,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-23 22:39:39"
89,BossLady,EARNING,Cash,2625,"Direct Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
90,BossLady,EARNING,Cash,37.5,"Indirect Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
91,Jamesonun,EARNING,Cash,75,"Indirect Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
92,Ekpoataha,EARNING,Cash,225,"Indirect Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
93,BCM01,EARNING,Cash,37.5,"Indirect Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
94,Faithtiti,EARNING,Cash,75,"Indirect Referral Bonus From Rachy5. Rach1972","2024-10-23 22:39:39"
95,9ice,EARNING,Cash,37.5,"Indirect Referral Bonus From Ronke","2024-10-22 11:15:23"
96,Akinde,EARNING,Cash,2625,"Direct Referral Bonus From Ronke","2024-10-22 11:15:23"
97,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-10-22 11:15:23"
98,Jahslove,EARNING,Cash,37.5,"Indirect Referral Bonus From Ronke","2024-10-22 11:15:23"
99,Adegbayo,EARNING,Cash,225,"Indirect Referral Bonus From Ronke","2024-10-22 11:15:23"
100,scentsbymimi,EARNING,Cash,37.5,"Indirect Referral Bonus From Ronke","2024-10-22 11:15:23"
101,Titilayo,EARNING,Cash,150,"Indirect Referral Bonus From Ronke","2024-10-22 11:15:23"
102,Flourishoasis,EARNING,Cash,37.5,"Indirect Referral Bonus From Ronke","2024-10-22 11:15:23"
103,scentsbymimi,EARNING,Cash,37.5,"Indirect Referral Bonus From Adegbayo","2024-10-22 11:10:53"
104,Akinde,EARNING,Cash,150,"Indirect Referral Bonus From Adegbayo","2024-10-22 11:10:53"
105,Flourishoasis,EARNING,Cash,37.5,"Indirect Referral Bonus From Adegbayo","2024-10-22 11:10:53"
106,9ice,EARNING,Cash,75,"Indirect Referral Bonus From Adegbayo","2024-10-22 11:10:53"
107,Akinde,EARNING,Cash,2625,"Direct Referral Bonus From Adegbayo","2024-10-22 11:10:53"
108,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-10-22 11:10:53"
109,Jahslove,EARNING,Cash,37.5,"Indirect Referral Bonus From Adegbayo","2024-10-22 11:10:53"
110,Titilayo,EARNING,Cash,225,"Indirect Referral Bonus From Adegbayo","2024-10-22 11:10:53"
111,scentsbymimi,EARNING,Cash,3500,"Team Bonus Earnings From Level 6 - Titilayo","2024-10-22 10:55:31"
112,scentsbymimi,EARNING,Cash,100,"Indirect Referral Bonus From Titilayo","2024-10-22 10:53:44"
113,Marveille,EARNING,Cash,200,"Indirect Referral Bonus From Titilayo","2024-10-22 10:53:44"
114,Flourishoasis,EARNING,Cash,100,"Indirect Referral Bonus From Titilayo","2024-10-22 10:53:44"
115,9ice,EARNING,Cash,200,"Indirect Referral Bonus From Titilayo","2024-10-22 10:53:44"
116,Akinde,EARNING,Cash,7000,"Direct Referral Bonus From Titilayo","2024-10-22 10:53:44"
117,Worldbest,EARNING,Cash,100,"Indirect Referral Bonus From Titilayo","2024-10-22 10:53:44"
118,Jahslove,EARNING,Cash,200,"Indirect Referral Bonus From Titilayo","2024-10-22 10:53:44"
119,Akinde,EARNING,Cash,600,"Indirect Referral Bonus From Titilayo","2024-10-22 10:53:44"
120,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-10-22 10:53:44"
121,scentsbymimi,EARNING,Cash,3500,"Team Bonus Earnings From Level 6 - Madamchuks","2024-10-22 10:50:17"
122,Flourishoasis,EARNING,Cash,100,"Indirect Referral Bonus From Madamchuks","2024-10-22 10:48:23"
123,9ice,EARNING,Cash,200,"Indirect Referral Bonus From Madamchuks","2024-10-22 10:48:23"
124,Akinde,EARNING,Cash,7000,"Direct Referral Bonus From Madamchuks","2024-10-22 10:48:23"
125,Worldbest,EARNING,Cash,100,"Indirect Referral Bonus From Madamchuks","2024-10-22 10:48:23"
126,Jahslove,EARNING,Cash,200,"Indirect Referral Bonus From Madamchuks","2024-10-22 10:48:23"
127,Akinde,EARNING,Cash,600,"Indirect Referral Bonus From Madamchuks","2024-10-22 10:48:23"
128,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-10-22 10:48:23"
129,scentsbymimi,EARNING,Cash,100,"Indirect Referral Bonus From Madamchuks","2024-10-22 10:48:23"
130,Marveille,EARNING,Cash,200,"Indirect Referral Bonus From Madamchuks","2024-10-22 10:48:23"
131,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-10-22 10:35:46"
132,Jahslove,EARNING,Cash,4375,"Direct Referral Bonus From Angelcash","2024-10-22 10:35:46"
133,Donlivis,DEBIT,Cash,1100,"Withdrawal Charges","2024-10-22 10:25:52"
134,Donlivis,DEBIT,Cash,20900,"Withdrawal Request","2024-10-22 10:25:52"
135,scentsbymimi,EARNING,Cash,3500,"Team Bonus Earnings From Level 5 - Akinde","2024-10-22 10:10:25"
136,Flourishoasis,EARNING,Cash,100,"Indirect Referral Bonus From Akinde","2024-10-22 10:06:07"
137,9ice,EARNING,Cash,200,"Indirect Referral Bonus From Akinde","2024-10-22 10:06:07"
138,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-10-22 10:06:07"
139,9ice,EARNING,Cash,7000,"Direct Referral Bonus From Akinde","2024-10-22 10:06:07"
140,Worldbest,EARNING,Cash,100,"Indirect Referral Bonus From Akinde","2024-10-22 10:06:07"
141,Jahslove,EARNING,Cash,200,"Indirect Referral Bonus From Akinde","2024-10-22 10:06:07"
142,Uketteh,EARNING,Cash,600,"Indirect Referral Bonus From Akinde","2024-10-22 10:06:07"
143,scentsbymimi,EARNING,Cash,200,"Indirect Referral Bonus From Akinde","2024-10-22 10:06:07"
144,Marveille,EARNING,Cash,400,"Indirect Referral Bonus From Akinde","2024-10-22 10:06:07"
145,BCM03,EARNING,Cash,100,"Indirect Referral Bonus From Akinde","2024-10-22 10:06:07"
146,scentsbymimi,EARNING,Cash,450,"10% instant cash back on product purchased from Re-purchase store","2024-10-22 06:05:48"
147,Flourishoasis,EARNING,Cash,225,"5% instant cash back on product purchased from Re-purchase store by scentsbymimi","2024-10-22 06:05:48"
148,Christiana,EARNING,Cash,225,"5% instant cash back on product purchased from Re-purchase store by Christiana03","2024-10-22 06:01:33"
149,Christiana03,EARNING,Cash,450,"10% instant cash back on product purchased from Re-purchase store","2024-10-22 06:01:33"
150,scentsbymimi,EARNING,Cash,3500,"Team Bonus Earnings From Level 3 - Hannahrich","2024-10-22 05:45:21"
151,Jahslove,EARNING,Cash,3500,"Team Bonus Earnings From Level 2 - Hannahrich","2024-10-22 05:45:20"
152,BCM03,EARNING,Cash,100,"Indirect Referral Bonus From Hannahrich","2024-10-22 05:41:12"
153,scentsbymimi,EARNING,Cash,200,"Indirect Referral Bonus From Hannahrich","2024-10-22 05:41:12"
154,scentsbymimi,EARNING,Cash,7000,"Direct Referral Bonus From Hannahrich","2024-10-22 05:41:12"
155,Kemsy,EARNING,Cash,100,"Indirect Referral Bonus From Hannahrich","2024-10-22 05:41:12"
156,Flourishoasis,EARNING,Cash,200,"Indirect Referral Bonus From Hannahrich","2024-10-22 05:41:12"
157,Angelcash,EARNING,Cash,600,"Indirect Referral Bonus From Hannahrich","2024-10-22 05:41:12"
158,BCM3,EARNING,Cash,100,"Indirect Referral Bonus From Hannahrich","2024-10-22 05:41:12"
159,Worldbest,EARNING,Cash,100,"Indirect Referral Bonus From Hannahrich","2024-10-22 05:41:12"
160,Jahslove,EARNING,Cash,400,"Indirect Referral Bonus From Hannahrich","2024-10-22 05:41:12"
161,naomistore,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-22 05:41:12"
162,Amygold01,EARNING,Cash,3500,"Team Bonus Earnings From Level 6 - Ambassador","2024-10-21 23:00:48"
163,Worldbest,EARNING,Cash,100,"Indirect Referral Bonus From Ambassador","2024-10-21 22:58:18"
164,Happygold,EARNING,Cash,600,"Indirect Referral Bonus From Ambassador","2024-10-21 22:58:18"
165,Zeeworld001,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-21 22:58:18"
166,Kabiru1,EARNING,Cash,400,"Indirect Referral Bonus From Ambassador","2024-10-21 22:58:18"
167,Amygold01,EARNING,Cash,100,"Indirect Referral Bonus From Ambassador","2024-10-21 22:58:18"
168,Donlivis,EARNING,Cash,7000,"Direct Referral Bonus From Ambassador","2024-10-21 22:58:18"
169,BCM1,EARNING,Cash,1000,"Team Bonus Earnings From Level 8 - Ochewealth2","2024-10-20 06:21:08"
170,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From Ochewealth2","2024-10-20 06:16:53"
171,Sandiphina,EARNING,Cash,75,"Indirect Referral Bonus From Ochewealth2","2024-10-20 06:16:53"
172,Sandiphina,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-20 06:16:53"
